Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",CP_Radial_D8.0mm_P3.50mm,2,100uF,C112510
"C10, C3, C7, C9",0402,4,1nF,C106205
"C11, C12",0402,2,0.68uF,C113784
"C13, C8",0402,2,0.47uF,C437527
"C14, C15, C4",0402,3,1uF,C1518208
"C2, C6",0402,2,100nF,C105882
"FB1, FB2",1206,2,120Ohm@100MHz,C3011219
"J2, J5",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,2.54mm,C158012
J3,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,3.5mm,C431535
R1,0603,1,10R,C22859
"R10, R2, R3, R4, R5",0402,5,100k,C60491
R6,0402,1,1k,C11702
"R7, R8, R9",0402,3,0,C17168
U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,1,TPA3110D2,C30132
