Designator,Mid X,Mid Y,Rotation,Layer
C1,218.25,-92.75,180.0,top
C2,227.4,-94.75,0.0,top
C3,218.25,-91.5,180.0,top
C4,229.0,-91.5,0.0,top
C5,227.4,-93.75,0.0,top
C6,233.75,-94.25,270.0,top
D1,238.25,-94.5,90.0,top
J1,224.9993,-81.9025,180.0,top
J3,218.0,-102.0,0.0,top
J4,225.0,-102.0,0.0,top
J5,232.0,-102.0,0.0,top
J6,221.5,-107.5,0.0,top
J7,228.5,-107.5,0.0,top
J8,225.0,-113.0,0.0,top
R1,238.25,-91.75,90.0,top
R10,229.75,-102.5,90.0,bottom
R11,221.0,-104.75,0.0,bottom
R12,221.0,-98.25,270.0,top
R13,228.0,-104.75,0.0,bottom
R14,228.5,-98.25,270.0,top
R15,224.5,-110.25,0.0,bottom
R16,222.0,-98.25,270.0,top
R17,219.25,-108.0,90.0,bottom
R18,226.25,-108.0,90.0,bottom
R19,222.75,-113.5,90.0,bottom
R2,217.5,-99.25,0.0,bottom
R3,218.0,-98.25,270.0,top
R4,224.5,-99.25,0.0,bottom
R5,225.0,-98.25,270.0,top
R6,231.5,-99.25,0.0,bottom
R7,232.0,-98.25,270.0,top
R8,215.75,-102.5,90.0,bottom
R9,222.75,-102.5,90.0,bottom
U1,223.25,-94.25,180.0,top
U2,218.0,-102.0,270.0,bottom
U3,225.0,-102.0,270.0,bottom
U4,232.0,-102.0,270.0,bottom
U5,221.5,-107.5,270.0,bottom
U6,228.5,-107.5,270.0,bottom
U7,225.0,-113.0,270.0,bottom
Y1,231.0,-94.25,180.0,top
